Category Code, Category 
01-00010,HARD COSTS
01-00100,General Conditions
01-01070,GC Street Sweeping
01-01115,Vice President
01-01120,DB Manager
01-01125,Project Executive
01-01130,Director
01-01150,General Superintendent
01-01200,Project Superintendent
01-01210,Assistant Superintendent
01-01215,Project Manager
01-01217,Assistant Project Manager
01-01220,Project Engineer
01-01225,Project Coordinator
01-01230,Laborer
01-01235,Safety Manager
01-01245,Training Manager
01-01250,GC Temporary Labor
01-01270,Bonus Incentives
01-01300,Travel and Relocation Expense
01-01350,Security
01-01390,Entertainment
01-01395,Sub Incentive Program
01-01400,Temp Phone
01-01410,Temp Toilets
01-01420,Temp Fence
01-01425,Temp Parking
01-01502,Traffic Control Misc. Closures
01-01510,Trash Removal
01-01525,Pressure Washing
01-01600,Storage Facilities
01-01610,Construction Office
01-01620,Office Furnishings
01-01635,Office Furnishings
01-01640,Construction Gear
01-01650,Progress Photos
01-01660,Blueprints
01-01670,Courier
01-01680,Construction Signs
01-01705,Safety Assessments
01-01720,Small Tools
01-01850,Vandalism Expense
01-01890,Repair & Corrective
01-01892,Subcontractor Charges
01-01900,Warranty Reserve
01-01917,Accounting Fees (3rd Party)
01-01970,Precon Services
01-01980,Preconstruction Services
01-01985,SLR Support Staff
01-01990,Reports and Misc. Fees
01-01995,Construction Legal Services
01-01999,Constr Software and Training
01-0199A,Bank True Up
01-0199B,General Conditions True
01-0199C,General Conditions Fee
01-02700,GC Safety Equipment
01-03235,GC Equipment Rental
01-17000,GC Punch Labor
01-17100,GC Punch Out Supplies
01-18850,GC Site Signage
01-20010,Mobilization
01-80000,COVID-19 Expense
01-99999,Total General Conditions
,
02-00000,Site Work
02-01005,Site Layout
02-01050,Construction Engineering Svcs
02-01070,Street Sweeping
02-01100,QC Inspections
02-01230,Laborer
02-01235,Safety Manager
02-01425,Temp Parking
02-01470,Testing
02-01502,Traffic Control Misc. Closures
02-01720,Small Tools
02-02100,Demolition
02-02105,Asbestos Abatement
02-02125,Site Preparation
02-02200,Grading
02-02210,Excavation
02-02215,Fine Grading Stucco Grade
02-02220,Haul Off Excess Fill
02-02225,Import Fill
02-02240,Backfill and Compaction
02-02245,Soil Stabilization
02-02265,Lake Bulkheads
02-02270,Erosion Control
02-02280,Termite PreTreatment
02-02290,Tree Preservation Removal
02-02300,Storm Drainage System
02-02305,Detention Vaults
02-02310,Sanitary Sewer System
02-02330,Water Distribution System
02-02335,Water Meters
02-02340,Electrical Conduits
02-02350,Telephone Conduits
02-02370,Cable TV Conduits
02-02380,Crossing Sleeves
02-02390,Relocate Existing Utilities
02-02391,Electric Improvements
02-02395,OffSite Utilities
02-02400,Asphalt Paving
02-02410,Concrete Pavement
02-02420,Pavers
02-02425,Temp Roads
02-02430,Specialty Pavement
02-02435,Temp Electric
02-02440,Curb and Gutter
02-02442,Temp Water
02-02445,Temp Gas
02-02450,"Markings, Wheel Stops"
02-02470,OffSite Paving
02-02540,Bollards
02-02600,Retaining Walls
02-02680,Area Drainage
02-02700,Safety Equipment
02-02800,Construction Management
02-03005,Threshold Inspections
02-03006,Concrete Testing
02-03099,Structural Contingency
02-03150,Foundations
02-03235,Equipment Rental
02-05500,Metal Stairs Assemblies
02-06400,Framing Labor
02-06425,Siding Labor
02-06710,Architectural Woodwork
02-06770,Granite Support Legs
02-06800,Finish Carpentry Labor
02-07100,Waterproofing
02-07350,Firestopping
02-07375,Caulking
02-07495,Roof Tie Off Anchors
02-08000,Windows and Screens
02-08010,Reglazing
02-08200,Entry Doors
02-08220,Interior Doors
02-08300,Overhead Doors
02-08700,Finish Hardware
02-09900,Painting
02-10300,Fireplaces
02-10500,Fire Extinguishers
02-10900,Building Signage
02-11100,Kitchen Appliances
02-12500,Window Treatments
02-14200,Elevators
02-14250,Elevator Cab Finishes
02-15400,Plumbing
02-15460,Venting and Piping
02-16000,Electrical
02-16150,Car Charging Stations
02-16500,Lighting Fixtures
02-16905,Unit Sound System
02-17000,Punch Labor
02-17100,Punch Out Supplies
02-17200,Repair and Corrective Work
02-17300,Final Cleaning
02-17400,Amenity Signage
02-17825,Bike Racks
02-18000,Upgrades
02-18525,Masonry Fencing
02-18775,Landscaping
02-18850,Site Signage
02-18851,Drywells
02-19500,Unallocated Future Costs
02-99999,Total Site Work
,
03-00000,Apartments
03-01005,Site Layout
03-01050,Construction Engineering Svcs
03-01070,Street Sweeping
03-01100,QC Inspections
03-01250,Temporary Labor
03-01350,Security
03-01470,Testing
03-01510,Trash Removal
03-01525,Pressure Washing
03-01600,Storage Facilities
03-01720,Small Tools
03-01900,Warranty Reserve
03-02105,Asbestos Abatement
03-02200,Grading
03-02220,Haul Off Excess Fill
03-02270,Erosion Control
03-02280,Termite PreTreatment
03-02300,Storm Drainage System
03-02330,Water Distribution System
03-02390,Relocate Existing Utilities
03-02391,Electric Improvements
03-02395,OffSite Utilities
03-02410,Concrete Pavement
03-02420,Pavers
03-02425,Temp Roads
03-02435,Temp Electric
03-02442,Temp Water
03-02445,Temp Gas
03-02700,Safety Equipment
03-02800,Construction Management
03-03005,Threshold Inspections
03-03006,Concrete Testing
03-03099,Structural Contingency
03-03100,Pilings
03-03125,Grade Beams
03-03130,Piers
03-03150,Foundations
03-03175,Slab on Grade
03-03220,Int. Lightweight Gypcrete
03-03225,Ext. Lightweight
03-03230,Concrete Shell
03-03231,Eqpt Rntl Generator
03-03232,Eqpt Rntl Fuel
03-03233,Eqpt Rntl BoomLift/Forklift
03-03234,Eqpt Rntl Buckhoist
03-03235,Eqpt Rntl Misc
03-03236,Eqpt Rntl Swing Stages
03-03237,Eqpt Rntl Skidsteer/Sweeper
03-03238,Eqpt Rntl Scissor Lift
03-03239,Eqpt Rntl Scaffolding
03-03240,Eqpt Rntl Crane
03-03320,Concrete Walls
03-04000,CMU
03-04002,Cable Railing
03-04300,Face Rock Masonry
03-04450,Cast Stone
03-04455,Balustrades
03-05100,Structural Steel
03-05150,Masonry Lintels
03-05300,Metal Fabrication
03-05500,Metal Stairs Assemblies
03-05550,Metal Stairs Town Homes
03-05750,Balcony Railings
03-05800,Screen Enclosures
03-05850,Metal Cladding Systems
03-05900,Ornamental Metals
03-06100,Framing Materials
03-06105,Miscellaneous Framing Materials
03-06200,Floor Trusses
03-06250,Roof Trusses
03-06300,Siding Materials
03-06400,Framing Labor
03-06425,Siding Labor
03-06700,Wood Trim Budget
03-06710,Architectural Woodwork
03-06725,Wood Stairs and Railings
03-06745,Kitchen Vanity Sinks
03-06750,"Cabinets, Vanities and Tops"
03-06755,Cabinet Hardware
03-06760,Marble Tops
03-06763,Quartz Tops
03-06765,Granite Tops
03-06770,Granite Support Legs
03-06775,Closet Shelving
03-07100,Waterproofing
03-07150,Concrete Coatings
03-07175,Balcony Breezeway Waterproofing
03-07200,Insulation
03-07230,House Wrap
03-07235,Mold Prevention
03-07250,Stucco
03-07350,Firestopping
03-07375,Caulking
03-07400,Roof Shingle System
03-07425,Flat Roof System
03-07475,Metal Roofs
03-07495,Roof Tie Off Anchors
03-07497,Roof Davit System
03-07500,Gutters and Downspouts
03-07900,Access Panels
03-07925,Roof Accessories
03-08000,Windows and Screens
03-08005,Window Installation
03-08010,Reglazing
03-08025,Sliding Glass Doors Patio Doors
03-08075,Shutters
03-08080,Awnings
03-08200,Entry Doors
03-08210,Hollow Metal Doors
03-08220,Interior Doors
03-08240,Meter Storage Room Doors
03-08250,Specialty Doors
03-08260,Shower Doors
03-08300,Overhead Doors
03-08400,Storefront
03-08450,Window Walls
03-08500,Glass Block
03-08700,Finish Hardware
03-09100,Metal Studs
03-09250,Drywall Metal Framing
03-09300,Ceramic Tile
03-09600,Wood Floors
03-09650,Vinyl Flooring
03-09680,Carpet
03-09690,Carpet Cleaning
03-09700,Concrete Stain Flooring
03-09710,Concrete Topping
03-09800,Tape Bed and Texture
03-09900,Painting
03-09920,Specialty Finishes
03-09950,Wallcovering
03-10300,Fireplaces
03-10500,Fire Extinguishers
03-10700,Mirrors
03-10800,Bath Accessories
03-10850,Toilet Partitions
03-10900,Building Signage
03-10950,Misc (Rent Drop Floor Safe)
03-11100,Kitchen Appliances
03-11200,Laundry Appliances
03-11800,Trash Chutes Compactors
03-11810,Trash Compactor
03-12500,Window Treatments
03-14200,Elevators
03-14250,Elevator Cab Finishes
03-15300,Fire Sprinkler System
03-15400,Plumbing
03-15410,Tub Repairs
03-15425,Shower Pans
03-15450,Water Sub Meters
03-15460,Venting and Piping
03-15475,Gas Sub Meters
03-15500,HVAC
03-16000,Electrical
03-16005,Generator
03-16100,Electrical Sub Meters
03-16200,Cable TV
03-16300,Telephone Wiring
03-16400,Smart Home
03-16500,Lighting Fixtures
03-16505,Exterior Lighting Allowance
03-16700,Audio Visual Equipment
03-16800,Fire Alarm System
03-16850,Life Safety Systems
03-16860,Camera Monitoring Systems
03-16870,Access Control Systems
03-16900,Intrusion Security System
03-16905,Unit Sound System
03-16950,Programmable Lock System
03-17000,Punch Labor
03-17100,Punch Out Supplies
03-17200,Repair and Corrective Work
03-17300,Final Cleaning
03-17825,Bike Racks
03-17830,Carports
03-18000,Upgrades
03-18525,Masonry Fencing
03-18600,Trash Compactors
03-18650,Parcel Lockers
03-18675,Package System
03-18740,Entry Features
03-18775,Landscaping
03-19500,Unallocated Future Costs
03-99999,Total Apartments
,
04-00000,Leasing Office
04-02445,Temp Gas
04-03225,Ext. Lightweight
04-04000,CMU
04-04300,Face Rock Masonry
04-05100,Structural Steel
04-05500,Metal Stairs Assemblies
04-05750,Balcony Railings
04-05900,Ornamental Metals
04-06105,Miscellaneous Framing Materials
04-06400,Framing Labor
04-06700,Wood Trim Budget
04-06710,Architectural Woodwork
04-06725,Wood Stairs and Railings
04-06750,"Cabinets, Vanities and Tops"
04-06760,Marble Tops
04-06763,Quartz Tops
04-06765,Granite Tops
04-06775,Closet Shelving
04-06800,Finish Carpentry Labor
04-07100,Waterproofing
04-07200,Insulation
04-07250,Stucco
04-07350,Firestopping
04-07375,Caulking
04-07900,Access Panels
04-08000,Windows and Screens
04-08080,Awnings
04-08210,Hollow Metal Doors
04-08220,Interior Doors
04-08250,Specialty Doors
04-08300,Overhead Doors
04-08400,Storefront
04-08700,Finish Hardware
04-09100,Metal Studs
04-09250,Drywall Metal Framing
04-09300,Ceramic Tile
04-09600,Wood Floors
04-09650,Vinyl Flooring
04-09680,Carpet
04-09700,Concrete Stain Flooring
04-09800,Tape Bed and Texture
04-09900,Painting
04-09920,Specialty Finishes
04-09950,Wallcovering
04-10300,Fireplaces
04-10500,Fire Extinguishers
04-10700,Mirrors
04-10800,Bath Accessories
04-10850,Toilet Partitions
04-10900,Building Signage
04-10950,Misc (Rent Drop Floor Safe)
04-11100,Kitchen Appliances
04-12500,Window Treatments
04-14200,Elevators
04-15300,Fire Sprinkler System
04-15400,Plumbing
04-15450,Water Sub Meters
